Company ID	Company Name (Korean)	Company Name (English)	기업설명	매출	누적투자금액 (억원)	직원수	카테고리	키워드
CP00010087	레브잇	LEVIT INC.	모바일 초저가 커머스 플랫폼 '올웨이즈'를 운영하는 기업	None	853.0	71	커머스,푸드/농업	이커머스,리뷰,신선식품,가공식품,리워드,생활용품/소품,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,WEB
CP00012485	슈카친구들	SYU CAR CHINGUDEUL CO.,LTD.	유튜브 채널 '슈카월드'를 운영하는 기업	None	None	11	콘텐츠/예술,금융/보험/핀테크	미디어,영상/비디오,투자,자산관리,주식/증권,B2C,광고,콘텐츠
CP00011268	두잇	DOEAT	팀매칭 배달앱 '두잇'을 운영하는 기업	9994965000	26.0	48	물류,푸드/농업	배송,배달,B2C,플랫폼/마켓플레이스,APP,WEB,공유경제/긱이코노미
CP00003304	뤼튼테크놀로지스	WRTN TECHNOLOGIES INC	생성 AI 플랫폼 '뤼튼'을 운영하는 기업	None	438.0	101	콘텐츠/예술,교육,AI/딥테크/블록체인	비대면교육,인공지능,B2C,구독,소프트웨어,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,생성형AI
CP00000010	스푼랩스 	Spoon Radio Co.,Ltd.	오디오 라이브 방송 플랫폼 '스푼'을 운영하는 기업	45504113000	1870.0	116	콘텐츠/예술,소셜미디어/커뮤니티	라디오,커뮤니티,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,콘텐츠,스트리밍
CP00000005	버킷플레이스	Bucketplace Co.,Ltd.	인테리어 콘텐츠 공유 커뮤니티 및 커머스 플랫폼 '오늘의집'을 운영하는 기업	240208523000	3180.0	661	커머스,소셜미디어/커뮤니티,홈리빙/펫	이커머스,커뮤니티,가구,인테리어,생활용품/소품,검색/검색엔진,B2B,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,콘텐츠
CP00015476	풀리오	PULRIO CO.,LTD.	종아리 마사지기 브랜드 '풀리오'를 운영하는 기업	56981183000	None	46	커머스,홈리빙/펫	이커머스,생활용품/소품,B2C,상품판매/브랜드/하드웨어,WEB,상품/하드웨어
CP00010126	웰로	WAELRO CO.,LTD.	맞춤형 정부정책 추천 서비스 플랫폼 '웰로'를 운영하는 기업	1329484000	None	25	금융/보험/핀테크,인사/비즈니스/법률	자산관리,법률,소상공인,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,교육/컨설팅/용역,여성창업 
CP00000048	컬리	Kurly Inc.	신선제품 새벽배송 플랫폼 '컬리'를 운영하는 기업	2072719845000	1.1	2648	커머스,물류,푸드/농업	이커머스,라스트마일,신선식품,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어,비대면/무인시스템/Untact,여성창업 
CP00002159	스토어링크	STORE LINK CO.,LTD.	이커머스 마케팅 플랫폼 '스토어링크'를 운영하는 기업	9654284000	310.0	68	광고/마케팅,AI/딥테크/블록체인	애드테크,마케팅솔루션,소비자조사,빅데이터,검색/검색엔진,B2B,SaaS/엔터프라이즈,구독,WEB,데이터/API,애그리게이터
CP00000013	비바리퍼블리카	VIVA REPUBLICA CO.,LTD.	모바일 금융 종합 서비스 '토스'를 운영하는 기업	336172174000	1.5	1025	금융/보험/핀테크,통신/보안/데이터	결제/페이먼트,보험/인슈어테크,주식/증권,은행,B2B,B2C,거래수수료,APP
CP00018129	랩추종윤	LAP-CHOOJONGYOON CORP.	축구 유튜브 채널 '이스타TV' 및 팟캐스트 서비스 '히팟'을 운영하는 기업	3328659000	None	25	콘텐츠/예술,피트니스/스포츠	방송,스포츠/운동,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠
CP00000042	클래스101	CLASS 101 CO.,LTD.	온라인 기반 취미 클래스 플랫폼 '클래스101'을 운영하는 기업	None	586.1	43	커머스,콘텐츠/예술,교육	이커머스,영상/비디오,취미교육,비대면교육,B2C,플랫폼/마켓플레이스,구독,거래수수료,APP,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크
CP00011594	디웨일	DWHALE INC.	성과 관리 서비스 '클랩'을 운영하는 기업	None	None	25	인사/비즈니스/법률	조직관리/조직문화,인사솔루션,협업툴/생산성,클라우드,B2B,SaaS/엔터프라이즈,소프트웨어
CP00002430	페이히어	Payhere Inc.	클라우드 기반 모바일 포스를 개발하는 기업	None	490.0	253	금융/보험/핀테크,제조/하드웨어	스마트오더,결제/페이먼트,POS,B2B,SaaS/엔터프라이즈,APP,WEB,상품/하드웨어,소프트웨어,오프라인매장
CP00014650	달파	DALPHA INC.	기업 맞춤형 AI 솔루션을 운영하는 기업	115900000	133.0	37	AI/딥테크/블록체인	프로그래밍개발,인공지능,B2B,소프트웨어,데이터/API
CP00003232	라포랩스	Rapport Labs Inc.	4050 여성 패션 플랫폼 '퀸잇'을 운영하는 기업	41261128000	855.0	150	커머스,패션	이커머스,큐레이션,의류,신발,패션잡화,쥬얼리,명품/중고명품,인공지능,빅데이터,B2C,여성,시니어/실버,플랫폼/마켓플레이스,거래수수료,APP,O2O,비대면/무인시스템/Untact
CP00000086	당근마켓	Danggeun Market Inc.	지역 기반 중고 직거래 플랫폼 '당근'을 운영하는 기업	None	2259.0	490	커머스	이커머스,중고,B2C,플랫폼/마켓플레이스,APP,WEB,중고거래/중고명품,O2O,리셀
CP00001723	에이블리코퍼레이션	AEBLY CORPORATION CO.,LTD.	스타일 커머스 플랫폼 '에이블리'를 운영하는 기업	259492404000	2230.0	306	커머스,패션	이커머스,리뷰,의류,신발,패션잡화,쥬얼리,인공지능,빅데이터,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP
CP00000055	쿠팡	Coupang Corp.	물류 풀필먼트 기반 종합 이커머스 플랫폼 '쿠팡'을 운영하는 기업	30664003000000	9.4	10768	커머스	이커머스,직구/역직구,B2C,플랫폼/마켓플레이스,APP,WEB,O2O
CP00000267	힐링페이퍼	HEALING PAPER CO., LTD.	메디컬뷰티 플랫폼 '강남언니'를 운영하는 기업	41703034000	233.0	131	헬스케어/바이오	커뮤니티,병원정보,B2C,플랫폼/마켓플레이스,APP,WEB
CP00000030	브레이브모바일	Brave Mobile Inc.	생활서비스 매칭플랫폼 '숨고'를 운영하고 있는 기업	45864855000	496.0	119	소셜미디어/커뮤니티,인사/비즈니스/법률	커뮤니티,인테리어,가사노동,리모델링,재능공유,아웃소싱,B2B,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,교육/컨설팅/용역,공유경제/긱이코노미
CP00001972	무신사	MUSINSA CO.,LTD.	패션 커머스 플랫폼 '무신사스토어'를 운영하는 기업	882965353000	5600.0	1491	커머스,패션	이커머스,유통,커뮤니티,의류,신발,패션잡화,쥬얼리,명품/중고명품,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,WEB,상품/하드웨어,O2O,오프라인매장
CP00000072	마이리얼트립	MYREALTRIP INC.	여행상품 중개 플랫폼 '마이리얼트립'을 운영하는 기업	None	1980.0	252	여행/레저	숙박,항공권,여행정보,레저/액티비티,B2C,플랫폼/마켓플레이스,APP,O2O
CP00010149	와이즐리컴퍼니	WISELY CO., LTD.	생필품 하드디스카운터 커머스 '와이즐리'를 운영하는 기업	30538586000	218.0	52	커머스,뷰티/화장품	이커머스,정기구독,미용기기,B2C,플랫폼/마켓플레이스,구독,WEB,상품/하드웨어,구독경제
CP00011078	문토	MUNTO CO.,LTD.	관심사 기반 커뮤니티 플랫폼 '문토'를 운영하는 기업	819832000	72.0	16	소셜미디어/커뮤니티	SNS,커뮤니티,B2C,플랫폼/마켓플레이스,APP,여성창업 
CP00000032	크몽	Kmong Co.,Ltd.	프리랜서 마켓 플랫폼 '크몽'을 운영하는 기업	33437817000	459.0	144	소셜미디어/커뮤니티,인사/비즈니스/법률	커뮤니티,재능공유,아웃소싱,B2B,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,교육/컨설팅/용역,공유경제/긱이코노미
CP00010767	트립소다	TEURIPSODA CO.,LTD.	여행 커뮤니티 커머스 '트립소다'를 운영하는 기업	253556000	12.0	13	여행/레저	이커머스,크라우드펀딩,숙박,여행정보
CP00000556	데일리샷	Daily Shot Co.,Ltd.	온라인 주류 플랫폼 '데일리샷'을 운영하는 기업	2808585000	124.8	40	커머스,푸드/농업	이커머스,스마트오더,리뷰,와인,맥주,기타주류,B2B,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,상품/하드웨어,O2O
CP00019248	트릴리언즈	TEULILRIEONJEU CO.,LTD.	요거트 아이스크림 프랜차이즈 브랜드 '요아정'을 운영하는 기업	3997239000	None	18	푸드/농업	디저트,창업,B2B,B2C,교육/컨설팅/용역,오프라인매장
CP00000514	트래블월렛	TRAVEL WALLET CO.,LTD.	외화 충전 및 결제 서비스 '트래블페이'를 운영하는 기업	23057832000	469.0	92	금융/보험/핀테크	송금,외환/환전,B2B,B2C,플랫폼/마켓플레이스,거래수수료,APP,소프트웨어
CP00000298	엘리스그룹	ELICE INC.	코딩 교육 플랫폼 '엘리스'를 운영하는 기업	None	333.5	119	교육,AI/딥테크/블록체인	성인실무교육,프로그래밍개발,인공지능,B2C,플랫폼/마켓플레이스,WEB,콘텐츠,교육/컨설팅/용역,O2O,에듀테크,코딩
CP00011679	월급쟁이부자들	WOLGEUPJAENGLEEBUJADEUL CO.,LTD.	경제 콘텐츠 플랫폼 '월급쟁이부자들'을 운영하는 기업	34995698000	None	82	금융/보험/핀테크,교육	영상/비디오,자산관리,주식/증권,재테크,취미교육,성인실무교육,비대면교육,B2C,플랫폼/마켓플레이스,WEB,에듀테크
CP00010765	바로팜	BAROPHARM CO., LTD.	의약품 주문통합 플랫폼 '바로팜'을 운영하는 기업	7889294000	350.0	58	헬스케어/바이오	이커머스,도매,바이오/의료
CP00000793	데이원컴퍼니	DAY1 COMPANY INC.	성인 대상 교육 콘텐츠 플랫폼 '패스트캠퍼스'를 운영하는 기업	116589559000	865.0	471	콘텐츠/예술,교육	영상/비디오,성인실무교육,비대면교육,B2C,플랫폼/마켓플레이스,거래수수료,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크
CP00001535	채널코퍼레이션	CHAENEOL CORPORATION CO.,LTD. CO.	올인원 비즈니스 메신저 '채널톡'을 운영하는 기업	12998777000	423.3	186	광고/마케팅,인사/비즈니스/법률	마케팅솔루션,협업툴/생산성,B2B,스타트업/창업자,SaaS/엔터프라이즈,구독,WEB,소프트웨어,구독경제,챗봇,생성형AI
CP00013448	마인이스	MINE.IS INC.	패션 리커머스 서비스 '차란'을 운영하는 기업	311390000	153.6	70	커머스,패션	중고,의류,패션잡화,중고패션,패션테크,B2C,플랫폼/마켓플레이스,APP,중고거래/중고명품,리셀
CP00001728	엘박스	LBOX CO., LTD.	판결문 검색 서비스 '엘박스', 판결문 기반 변호사 찾기 서비스 '엘파인드'를 운영하는 기업	2209793000	240.0	47	인사/비즈니스/법률	법률,클라우드,검색/검색엔진,B2B,B2C,SaaS/엔터프라이즈,구독,WEB,데이터/API,구독경제
CP00000438	클라썸	CLASSUM CO., LTD.	교육 및 지식 공유 플랫폼 '클라썸'을 운영하는 기업	1557575000	222.0	59	교육	영상/비디오,비대면교육,인공지능,B2B,B2C,콘텐츠,교육/컨설팅/용역,여성창업 ,에듀테크
CP00000089	매스프레소	Mathpresso Inc.	AI 기반 수학풀이 검색 플랫폼 '콴다'를 운영하는 기업	13545540000	1527.5	141	교육,AI/딥테크/블록체인	수학,인공지능,딥러닝/머신러닝,검색/검색엔진,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠,O2O,비대면/무인시스템/Untact,에듀테크
CP00001708	비즈니스캔버스	BUSINESS CANVAS INC.	세일즈 테크 기반 비즈니스 플래닝 및 지식관리 분야의 SaaS를 개발하는 기업	458463000	122.5	28	인사/비즈니스/법률	협업툴/생산성,B2B,B2C,SaaS/엔터프라이즈,구독,WEB,상품/하드웨어,공간,구독경제
CP00001826	아토머스	Atommerce Inc.	정신건강 플랫폼 '마인드카페'를 운영하는 기업	6953595000	335.5	83	소셜미디어/커뮤니티,헬스케어/바이오	커뮤니티,디지털헬스케어,심리상담/정신건강,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,교육/컨설팅/용역,오프라인매장,비대면/무인시스템/Untact
CP00000237	의식주컴퍼니	UISIKJU COMPANY LTD.	비대면 세탁 플랫폼 '런드리고'를 운영하는 기업	48183387000	1225.0	584	홈리빙/펫	세탁,B2C,플랫폼/마켓플레이스,APP,비대면/무인시스템/Untact
CP00001520	로앤컴퍼니	LAW & COMPANY CO., LTD.	법률 플랫폼 '로톡'을 운영하는 기업	5819871000	370.0	54	인사/비즈니스/법률,AI/딥테크/블록체인	법률,인공지능,B2C,플랫폼/마켓플레이스,APP,WEB,교육/컨설팅/용역,O2O
CP00000008	우아한형제들	Woowa Bros.	배달음식 중개플랫폼 '배달의민족'을 운영하는 기업	3413479250000	5063.0	2229	커머스,물류,푸드/농업	이커머스,리뷰,라스트마일,배달,검색/검색엔진,B2B,B2C,플랫폼/마켓플레이스,광고,거래수수료,APP,O2O,코로나
CP00010383	미리디	MIRIDI CO.,LTD.	디자인 협업 솔루션 '미리캔버스' 등을 운영하는 기업	60684571000	230.0	330	콘텐츠/예술,광고/마케팅	디자인,마케팅솔루션,B2C,플랫폼/마켓플레이스,SaaS/엔터프라이즈,WEB,콘텐츠,교육/컨설팅/용역
CP00000024	번개장터	Bungaejangter Inc.	중고상품 거래 및 커뮤니티 플랫폼 '번개장터'를 운영하는 기업	34128167000	1780.0	187	커머스,소셜미디어/커뮤니티	중고,커뮤니티,B2C,플랫폼/마켓플레이스,광고,APP,WEB,중고거래/중고명품,리셀
CP00010618	인플루디오	INFLUDEO INC.	K-pop 포토카드 플랫폼 '포카마켓'을 운영하는 기업	5897185000	32.0	82	커머스,콘텐츠/예술,소셜미디어/커뮤니티	이커머스,중고,한류/K-pop,연예인,메세지 ,B2C,플랫폼/마켓플레이스,APP,WEB,중고거래/중고명품,O2O,한류/K-POP/K-Contents
CP00010604	아이트럭	ITRUCK, INC.	중고 트럭 거래 플랫폼 '아이트럭'을 운영하는 기업	2159390000	100.0	18	커머스,모빌리티/교통	중고,중고차,B2C,플랫폼/마켓플레이스,APP,O2O,여성창업 ,리셀
CP00000019	야놀자	Yanolja Co.,Ltd.	숙박, 여행 정보 제공 및 예약 서비스 '야놀자'를 운영하는 기업	375357291000	2.4	892	여행/레저	숙박,여행정보,캠핑,레저/액티비티,검색/검색엔진,B2B,B2C,플랫폼/마켓플레이스,광고,거래수수료,APP,WEB,O2O
CP00000319	모두싸인	Modusign Inc.	온라인 전자계약 서비스 '모두싸인'을 운영하는 기업	None	317.0	72	인사/비즈니스/법률,AI/딥테크/블록체인	협업툴/생산성,전자계약,법률,B2B,SaaS/엔터프라이즈,구독,WEB,소프트웨어,비대면/무인시스템/Untact
CP00000016	리디	RIDI CORPORATION	웹툰·웹소설 콘텐츠 플랫폼 '리디' 등을 운영하는 기업	215401057000	3855.0	452	콘텐츠/예술	정기구독,웹툰/만화,B2C,플랫폼/마켓플레이스,구독,APP,WEB,콘텐츠,구독경제,웹소설
CP00003330	보이저엑스	VOYAGER X, INC.	AI 영상 편집기 '브루', 모바일 스캐너 앱 '브이플랫', 고객 문의 분석 툴 'VOC STUDIO'를 운영하는 기업	1981843000	300.0	66	콘텐츠/예술,통신/보안/데이터,AI/딥테크/블록체인	영상/비디오,사진,프로그래밍개발,인공지능,B2C,SaaS/엔터프라이즈,APP,WEB,소프트웨어,콘텐츠,생성형AI
CP00000447	화이트큐브	WHITECUBE INC.	목표 관리 및 습관형성 서비스 '챌린저스'를 운영하는 기업	5718107000	60.0	26	소셜미디어/커뮤니티	커뮤니티,B2B,B2C,광고,APP,콘텐츠,O2O
CP00000471	아우름플래닛	Aurum Planet Co.,Ltd.	개인화 정보 큐레이션 플랫폼 '라이너'를 운영하는 기업	351982000	167.5	38	통신/보안/데이터,AI/딥테크/블록체인	인터넷기술,모바일기술,프로그래밍개발,검색/검색엔진,B2B,B2C,상품판매/브랜드/하드웨어,APP,생성형AI
CP00000328	자비스앤빌런즈	Jobis & Villains Inc.	세금 신고·환급 도움 서비스 '삼쩜삼'을 운영하는 기업	50714504000	389.0	178	금융/보험/핀테크,인사/비즈니스/법률,AI/딥테크/블록체인	세무,회계,경리/경영관리,ERP/그룹웨어,블록체인기술,인공지능,빅데이터,B2B,SaaS/엔터프라이즈,구독,용역,APP,WEB,소프트웨어,교육/컨설팅/용역
CP00000848	드라마앤컴퍼니	Drama & Company Ltd.	명함관리 및 채용 플랫폼 '리멤버'를 운영하는 기업	19778663000	1992.0	217	인사/비즈니스/법률	구인구직/채용,조직관리/조직문화,비전센싱/영상인식/센서,B2B,B2C,SaaS/엔터프라이즈,APP,WEB,콘텐츠
CP00000257	퍼블리	Publy Co.,Ltd.	실무 교육 콘텐츠 플랫폼 '퍼블리' 및 스타트업 커뮤니티 플랫폼 '커리어리'를 운영하는 기업	2013782000	183.0	3	콘텐츠/예술,소셜미디어/커뮤니티,교육	커뮤니티,성인실무교육,비대면교육,B2C,플랫폼/마켓플레이스,구독,APP,WEB,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,구독경제,여성창업 ,에듀테크
CP00000079	뤼이드	Riiid Inc.	AI 기반 토익 학습 플랫폼 '산타' 등을 운영하는기업	7701765000	2844.0	63	교육,AI/딥테크/블록체인	영어,수학,외국어,인공지능,딥러닝/머신러닝,B2C,플랫폼/마켓플레이스,구독,APP,콘텐츠,O2O,비대면/무인시스템/Untact,에듀테크
CP00000068	한국신용데이터	KOREA CREDIT DATA	소상공인 경영관리 플랫폼 '캐시노트'를 운영하는 기업	6449736000	2698.2	182	금융/보험/핀테크,인사/비즈니스/법률	조직관리/조직문화,세무,회계,경리/경영관리,소상공인,빅데이터,B2B,플랫폼/마켓플레이스,SaaS/엔터프라이즈,APP,교육/컨설팅/용역,O2O
CP00000039	뉴넥스	NEWNEX, INC.	풀필먼트 기반 패션 커머스 플랫폼 '브랜디', '하이버' 등을 운영하는 기업	57172106000	1339.0	145	커머스,패션	이커머스,리뷰,풀필먼트,의류,신발,패션잡화,쥬얼리,패션테크,B2C,플랫폼/마켓플레이스,광고,거래수수료,APP,상품/하드웨어
CP00016645	릴리스에이아이		AI 기반 영상 요약 서비스 '릴리스에이아이'를 운영하는 기업	None	None	None	콘텐츠/예술,AI/딥테크/블록체인	영상/비디오,인공지능,B2C,WEB
CP00003356	티오더	TORDER CO.,LTD.	태블릿 무인 주문 플랫폼 '티오더'를 제공하는 기업	59605029000	437.5	291	커머스,광고/마케팅,인사/비즈니스/법률	스마트오더,소상공인,빅데이터,B2B,SaaS/엔터프라이즈,소프트웨어,비대면/무인시스템/Untact
CP00003213	두들린	DUDEULRIN CO.,LTD.	기업용 채용 관리 솔루션 ‘그리팅’을 운영하는 기업	None	157.5	65	인사/비즈니스/법률,통신/보안/데이터	구인구직/채용,조직관리/조직문화,협업툴/생산성,클라우드,프로그래밍개발,B2B,SaaS/엔터프라이즈,소프트웨어
CP00001970	발란	BALAAN CO.,LTD.	명품 커머스 플랫폼 '발란'을 운영하는 기업	39245153000	735.0	53	커머스,패션	이커머스,직구/역직구,유통,의류,신발,패션잡화,쥬얼리,명품/중고명품,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,O2O
CP00002610	프리윌린	FREEWHEELIN, INC.	AI 기반 수학교육 솔루션 '매쓰플랫', 문제 추천 및 분석 서비스 '풀리수학'을 운영하는 기업	12029888000	120.0	119	교육,AI/딥테크/블록체인	수학,청소년교육,선생님,인공지능,빅데이터,B2C,APP,WEB,비대면/무인시스템/Untact,에듀테크
CP00000038	뱅크샐러드	BANKSALAD CO.,LTD.	금융데이터 기반 개인 맞춤형 자산관리 플랫폼 '뱅크샐러드'를 운영하는 기업	6770195000	1988.1	133	금융/보험/핀테크	자산관리,송금,B2C,SaaS/엔터프라이즈,APP,교육/컨설팅/용역
CP00001823	코드잇	Codeit Co.,Ltd.	온라인 코딩 교육 플랫폼 '코드잇'을 운영하는 기업	4102751000	140.0	105	교육	성인실무교육,비대면교육,프로그래밍개발,기타기술,B2B,B2C,플랫폼/마켓플레이스,WEB,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크,코딩
CP00000314	크리에이트립	KEURI A TRIP CO.,LTD.	국내 인바운드 관광 리딩 플랫폼 '크리에이트립'을 운영하는 기업	4800333000	181.0	56	여행/레저	숙박,여행정보,레저/액티비티,B2B,B2C,광고,APP,WEB,여성창업 
CP00013541	팀러너스	TIMREONEOSEU CO.,LTD.	글로벌 AI 콘텐츠 플랫폼을 개발하는 기업	None	20.0	4	콘텐츠/예술	음악,영상/비디오,인공지능,3D그래픽/CG,B2B,B2C,플랫폼/마켓플레이스,콘텐츠
CP00011250	넥스트그라운드	Next Ground Co., Ltd.	부동산 거주 리뷰·평가 플랫폼 '집품'을 운영하는 기업	None	None	9	부동산/건설	리뷰,부동산중개,임대,프롭테크,빅데이터,B2C,플랫폼/마켓플레이스,APP,WEB,O2O
CP00011962	탑코	TOPCO CO.,LTD.	성인 웹툰 플랫폼 '탑툰'을 운영하는 기업	66992672000	242.0	246	콘텐츠/예술	웹툰/만화,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,콘텐츠
CP00002624	마이플레이컴퍼니	MY PLAY COMPANY CO., LTD.	풋살 경기 매칭 플랫폼 '플랩풋볼'을 운영하는 기업	8532801000	33.5	45	소셜미디어/커뮤니티,피트니스/스포츠	스포츠/운동,B2C,플랫폼/마켓플레이스,렌탈/대여,WEB,공간,공유경제/긱이코노미,O2O
CP00001627	마키나락스	Makina Rocks Co.,Ltd.	AI 기반의 엔터프라이즈 플랫폼 및 제조∙산업 특화 솔루션을 제공하는 기업	4912723000	340.0	117	제조/하드웨어,AI/딥테크/블록체인	제조기술,인공지능,딥러닝/머신러닝,비전센싱/영상인식/센서,B2B,SaaS/엔터프라이즈,소프트웨어
CP00012900	더파운더즈		스킨케어 및 뷰티 브랜드 '아누아', '유즈', '프롬랩스' 및 반려동물용품 브랜드 '프로젝트 21'을 운영하는 기업	None	None	154	커머스,뷰티/화장품,홈리빙/펫	스킨케어/클렌징,헤어/바디,향수,펫케어/펫테크,B2C,상품판매/브랜드/하드웨어,WEB
CP00010450	알고케어	ALGOCARE	AI 기반 영양 관리 가전 및 솔루션 '알고케어'를 개발하는 기업	None	150.0	26	헬스케어/바이오,제조/하드웨어,AI/딥테크/블록체인	디지털헬스케어,건강기능식품,가전,IoT,인공지능,빅데이터,B2B,B2C,상품판매/브랜드/하드웨어,상품/하드웨어,여성창업 
CP00000067	핏펫	FITPET CO.,LTD.	반려동물 건강관리 플랫폼 '핏펫'을 운영하는 기업	23920097000	883.0	104	금융/보험/핀테크,홈리빙/펫	펫케어/펫테크,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,APP,상품/하드웨어,O2O
CP00010136	넛지헬스케어	NUDGEHEALTHCARE INC.	건강관리 리워드 서비스 '캐시워크'를 운영하는 기업	79232769000	300.0	246	콘텐츠/예술,헬스케어/바이오,광고/마케팅	디지털헬스케어,스포츠/운동,리워드,B2C,플랫폼/마켓플레이스,광고,APP,콘텐츠
CP00001774	파스토	FASSTO CO., LTD.	AI 기반 풀필먼트 서비스를 운영하는 기업	73083981000	1190.0	90	물류,AI/딥테크/블록체인	물류솔루션,배송,풀필먼트,인공지능,B2B,SaaS/엔터프라이즈,용역,교육/컨설팅/용역
CP00011560	스픽이지랩스코리아	SPEAKEASY LABS KOREA INC.	AI 영어 학습 솔루션 '스픽'을 운영하는 기업	None	930.0	25	교육,AI/딥테크/블록체인	영어,외국어,비대면교육,개인화교육,인공지능,B2C,플랫폼/마켓플레이스,구독,APP,에듀테크
CP00000352	링글잉글리시에듀케이션서비스	RINGLE ENGLISH EDUCATION SERVICE CO.,LTD.	아이비리그 일대일 온라인 영어회화 전문 플랫폼 '링글'을 운영하는 기업	11337980000	219.0	46	교육	영어,비대면교육,선생님,B2C,플랫폼/마켓플레이스,용역,APP,WEB,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크
CP00000255	탈잉 	TALING CO.,LTD.	온·오프라인 클래스 플랫폼 '탈잉'을 운영하는 기업 (본점)	5436090000	247.0	20	콘텐츠/예술,교육	영상/비디오,취미교육,성인실무교육,비대면교육,B2B,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠,교육/컨설팅/용역,O2O,비대면/무인시스템/Untact,스트리밍,에듀테크
CP00002344	인티그레이션	INTEGRATION CO., LTD.	의료인 대상 헬스케어 플랫폼 '메디스트림', '모어덴', '치즈톡'과 한의학 기반 다이어트 서비스 '린다이어트'를 운영하는 기업	24072631000	386.0	118	소셜미디어/커뮤니티,헬스케어/바이오	SNS,커뮤니티,B2C,APP,WEB
CP00003385	알엑스씨	RXC	리테일 미디어 플랫폼  '프리즘(PRIZM)'을 운영하는 기업	1642341000	400.0	88	커머스,광고/마케팅	이커머스,라이브커머스,미디어,방송,영상/비디오,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,상품/하드웨어,콘텐츠,O2O,D2C
CP00000085	미소	Miso Co.,Ltd.	홈서비스 플랫폼 '미소'를 운영하는 기업	None	121.0	224	홈리빙/펫	인테리어,청소,세탁,설거지,가사노동,B2C,플랫폼/마켓플레이스,용역,APP,WEB,교육/컨설팅/용역,O2O
CP00002133	마플코퍼레이션	www.marpple.com	굿즈 및 단체 상품 제작 플랫폼 '마플샵'을 운영하는 기업	34106411000	145.0	147	커머스,콘텐츠/예술,제조/하드웨어	이커머스,디자인,제조기술,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,상품/하드웨어,교육/컨설팅/용역,O2O,여성창업 
CP00010638	팀스파르타	TEAMSPARTA INC.	온라인 기반 코딩 교육 플랫폼 '스파르타코딩클럽' 등을 운영하는 기업	31830580000	130.0	187	교육	취미교육,성인실무교육,비대면교육,프로그래밍개발,기타기술,플랫폼/마켓플레이스,콘텐츠,교육/컨설팅/용역,비대면/무인시스템/Untact,에듀테크,코딩
CP00000204	트레바리	TREVARI CO.,LTD.	독서모임 커뮤니티 플랫폼 '트레바리'를 운영하는 기업	5156399000	90.0	26	소셜미디어/커뮤니티	커뮤니티,B2C,플랫폼/마켓플레이스,APP,WEB,콘텐츠,교육/컨설팅/용역
CP00000009	오피지지	OP.GG CO.,LTD.	E-Sports 전적 검색 및 분석 서비스 '오피지지'를 운영하는 기업	11370954000	105.0	61	소셜미디어/커뮤니티,게임	커뮤니티,LOL,B2C,플랫폼/마켓플레이스,광고,APP,WEB,콘텐츠,코로나
CP00013194	딥다이브	DEEPDIVE INC.	여성 속옷 브랜드 ‘베리시’를 운영하는 기업	29353600000	None	71	커머스,패션	이커머스,의류,B2C,여성,상품판매/브랜드/하드웨어,상품/하드웨어,여성창업 
CP00002100	에어스메디컬	AIRS MEDICAL INC.	MRI 촬영 가속화 솔루션을 개발하는 기업	2253230000	573.0	92	헬스케어/바이오	바이오/의료,진단/검사,인공지능,딥러닝/머신러닝
CP00010862	캐비지	KAEBIJI CO.,LTD.	못난이 농산물 정기배송 서비스 '어글리어스'를 운영하는 기업	8153064000	19.0	19	커머스,푸드/농업	정기구독,배달,신선식품,농업,B2C,플랫폼/마켓플레이스,구독,ESG,구독경제,여성창업 
CP00001408	닥터나우	Doctor Now Co.,Ltd.	비대면 기반 진료 및 약배달 O2O 플랫폼 '닥터나우'를 운영하는 기업	2645223000	521.9	47	헬스케어/바이오	바이오/의료,원격진료,병원정보,B2B,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,거래수수료,APP,O2O,비대면/무인시스템/Untact
