Company ID	Company Name (Korean)	Company Name (English)	기업설명	매출	누적투자금액 (억원)	직원수	카테고리	키워드
CP00012274	펫봄	PAETBOM CO.,LTD.	우리동네 펫시터 중개 플랫폼 '펫봄'을 운영하는 기업	93026000	None	5	소셜미디어/커뮤니티,홈리빙/펫	커뮤니티,펫케어/펫테크,B2C,플랫폼/마켓플레이스,APP
CP00013660	바이엇	BYAHT INC.	크리에이터 특화 대안신용평가 솔루션 ‘글로우비’를 운영하는 기업	11772000	None	None	금융/보험/핀테크,광고/마케팅,AI/딥테크/블록체인	MCN/크리에이터,마케팅솔루션,인공지능,B2B,플랫폼/마켓플레이스,광고
CP00016594	프렉탈테크놀로지		중소기업 매매 온라인 중개 플랫폼 '쿠키딜'을 운영하는 기업	None	7.0	None	금융/보험/핀테크,인사/비즈니스/법률	투자,거래소,VC/ACC,B2B,WEB,교육/컨설팅/용역
CP00002464	위플래닛	WEPLANET CO.,LTD.	웨어러블/라이프로깅/피트니스 서비스 플랫폼을 운영하는 기업	1829296000	5500.0	29	소셜미디어/커뮤니티,통신/보안/데이터	SNS,커뮤니티,모바일기술,프로그래밍개발,B2C,거래수수료,APP,WEB,비대면/무인시스템/Untact
CP00018658	디자인앤프랙티스	DESIGN&PRACTICE CORP.	자동차 리스 및 렌트 플랫폼 ‘핀다오토’를 운영하는 기업	None	21.0	None	모빌리티/교통	렌터카,B2C,플랫폼/마켓플레이스,렌탈/대여,WEB
CP00000121	라카코스메틱스	LAKA Cosmetics Inc.	젠더 뉴트럴 뷰티 브랜드 '라카'를 운영하는 기업	None	15.0	16	커머스,뷰티/화장품	이커머스,색조/메이크업,B2C,플랫폼/마켓플레이스,상품판매/브랜드/하드웨어,WEB,상품/하드웨어,O2O,오프라인매장
CP00016590	스타씨드	STARSEED CO., LTD.	생성형 AI 기반 PR SaaS 서비스 '퓰리처AI'를 개발하는 기업	85218000	None	None	AI/딥테크/블록체인	인공지능,B2B,B2C,SaaS/엔터프라이즈,생성형AI
CP00013503	서프컴퍼니	SEOPEU COMPANY CO.,LTD.	빅데이터 운임 수집 기반 실시간 선복 공유 플랫폼을 운영하는 기업	None	None	None	물류,AI/딥테크/블록체인	물류솔루션,창고,빅데이터,B2B,플랫폼/마켓플레이스,WEB
CP00014872	제로원리퍼블릭	01REPUBLIC INC.	결제내역 통합관리 서비스 '스코디'를 개발하는 기업	13200000	None	None	금융/보험/핀테크	결제/페이먼트,프로그래밍개발,B2B,B2C,소프트웨어
CP00002696	로지브라더스	Logi Brothers Co.,Ltd.	초등 대상 게임형 온라인 코딩 교육 플랫폼 '코드모스'를 운영하는 기업	None	10.0	19	교육,통신/보안/데이터	초등교육,프로그래밍개발,B2C,초등학생,플랫폼/마켓플레이스,SaaS/엔터프라이즈,APP,WEB,소프트웨어,콘텐츠,O2O,비대면/무인시스템/Untact,에듀테크,코딩
CP00010918	비즈플레이	BIZPLAY CO., LTD.	디지털 경비지출관리 솔루션 '비즈플레이'를 운영하는 기업	24306219000	330.0	159	인사/비즈니스/법률	화상회의/리모트워크/원격근무,세무,회계,경리/경영관리,문서작성,B2B,SaaS/엔터프라이즈,APP,데이터/API,비대면/무인시스템/Untact,코로나
CP00017670	베이콘	BAYCON INC.	eSIM 플랫폼 '이심이지' 등을 운영하는 기업	2805868868	None	18	여행/레저,통신/보안/데이터	이커머스,여행정보,레저/액티비티,통신/네트워크/5G,B2C,APP,WEB
CP00014906	셀파스	SHERPAS CO., LTD.	IT 자산관리 서비스(SaaS Management Platform) '심플리'를 운영하는 기업	None	2.0	None	인사/비즈니스/법률	협업툴/생산성,데이터,B2B,SaaS/엔터프라이즈,교육/컨설팅/용역
CP00010133	컨텍터스	CONTACTUS	스마트 건물관리 솔루션 '둥지'를 운영하는 기업	1707645000	32.0	22	부동산/건설,AI/딥테크/블록체인	IoT,인공지능,빅데이터,B2C,시니어/실버,플랫폼/마켓플레이스,WEB,교육/컨설팅/용역,비대면/무인시스템/Untact
CP00014156	오비터스	ORBITERS CO., LTD.	미국 대상 유아용품 플랫폼 'zezebaebae'를 운영하는 기업	119006000	None	6	커머스,유아/출산	이커머스,유아동복,유아용품,출산,B2C,유아동,WEB,상품/하드웨어
CP00017007	이로운앤컴퍼니	LEEROUNAEN COMPANY CO.,LTD.	생성형AI 보안 솔루션 '세이프 X'를 개발하는 기업	0	None	8	통신/보안/데이터,AI/딥테크/블록체인	보안/암호화,프로그래밍개발,B2B,플랫폼/마켓플레이스,소프트웨어,생성형AI
CP00010621	그레이드헬스체인	GEURELEEDEUHELSEU CHAIN CO.,LTD.	건강등급 산정서비스 '로그'를 운영하는 기업	704876000	85.0	25	금융/보험/핀테크,헬스케어/바이오,AI/딥테크/블록체인	보험/인슈어테크,디지털헬스케어,바이오/의료,건강검진,빅데이터,B2C,APP,금융상품,비대면/무인시스템/Untact
CP00003185	더리얼그룹	Realry	명품 패션 가격비교 및 검색엔진 플랫폼 '리얼리'를 운영하는 기업	82812000	20.0	6	커머스,패션,AI/딥테크/블록체인	이커머스,직구/역직구,유통,의류,신발,패션잡화,쥬얼리,명품/중고명품,검색/검색엔진,B2C,플랫폼/마켓플레이스,거래수수료,APP,WEB,O2O
CP00013372	카이헬스	KAI HEALTH INC.	AI 기반 난임 솔루션을 제공하는 기업	992000	10.0	15	헬스케어/바이오,AI/딥테크/블록체인,유아/출산	바이오/의료,진단/검사,데이터,인공지능,출산,B2B
CP00011631	그린리본	GEURINRIBON CO.,LTD.	보험 청구 대행 플랫폼 '라이프캐치'를 운영하는 기업	408674000	19.0	20	금융/보험/핀테크	보험/인슈어테크,재테크,B2C,플랫폼/마켓플레이스,APP,WEB,여성창업 
CP00016756	세일즈맵	SALESMAP INC.	데이터 기반 기업 간 세일즈 CRM 소프트웨어를 개발하는 기업	None	10.0	9	인사/비즈니스/법률,통신/보안/데이터	마케팅솔루션,CRM,데이터,프로그래밍개발,B2B,SaaS/엔터프라이즈,용역,소프트웨어
CP00003432	엘로이랩	El Roi Lab Inc.	AI 초분광 기술 기반 식품 공정시 발생하는 비정형 이상을 검출하는 솔루션을 개발하는 기업	635930000	65.0	24	푸드/농업,통신/보안/데이터,AI/딥테크/블록체인	가공식품,프로그래밍개발,인공지능,B2B,SaaS/엔터프라이즈,소프트웨어
